arg-id,x,y,probability,cluster-id
A321_0,11.5409355,4.6058254,0.0,0
A341_0,11.966755,3.1015568,1.0,0
A340_0,11.2555485,3.3835669,1.0,0
A339_0,13.120519,2.8639917,1.0,2
A338_0,12.608705,3.032512,1.0,2
A337_0,12.694063,4.2039204,1.0,1
A336_0,13.45814,3.5214176,0.9954865607166473,1
A335_0,13.560769,4.784026,1.0,1
A334_0,13.6576605,2.7685726,0.0,2
A333_0,13.953348,3.7935507,0.9954865607166473,1
A332_0,13.911677,4.3185177,0.9649220971599746,1
A331_0,10.91876,3.887504,1.0,0
A330_0,13.079102,2.2749095,0.0,2
A329_0,11.34059,2.16004,0.0,2
A328_0,11.989884,3.8472404,0.0,0
A327_0,14.095834,4.9020867,1.0,1
A326_0,12.382188,4.634654,1.0,0
A325_0,12.759336,5.0159945,0.8373975566363222,1
A324_0,11.457433,4.066901,1.0,0
A323_0,11.565628,2.83221,1.0,0
A323_1,11.923044,2.4325345,1.0,2
A322_0,12.351831,2.0376318,0.0,2
A295_0,10.850898,2.72686,0.0,0
A320_0,13.223954,4.5308647,1.0,1
A319_0,13.220873,4.0067325,1.0,1
A318_0,14.433759,4.625521,0.9287516004537537,1
A318_1,12.69009,3.7168558,0.9300981198387946,1
